StichtagDatJahr,QuarSort,QuarCd,QuarLang,KreisSort,WegOrtSort,WegOrtLang,WegBezirkSort,WegBezirkLang,WegKtSort,WegKtLang,WegLandSort,WegLandLang,WegRegionSort,WegRegionLang,WegKontinentSort,WegKontinentLang,AnzWezuWir
2014,41,041,"Werd",4,248,"Uitikon",111,"Bezirk Dietikon",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",3
2014,111,111,"Affoltern",11,4045,"Wettingen",1902,"Bezirk Baden",19,"Aargau",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,34,034,"Sihlfeld",3,248,"Uitikon",111,"Bezirk Dietikon",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",15
2014,61,061,"Unterstrass",6,101,"Steinmaur",104,"Bezirk Dielsdorf",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",2
2014,33,033,"Friesenberg",3,248,"Uitikon",111,"Bezirk Dietikon",1,"Zürich",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",4
2014,74,074,"Witikon",7,4045,"Wettingen",1902,"Bezirk Baden",19,"Aargau",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,73,073,"Hirslanden",7,4045,"Wettingen",1902,"Bezirk Baden",19,"Aargau",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,61,061,"Unterstrass",6,4045,"Wettingen",1902,"Bezirk Baden",19,"Aargau",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,51,051,"Gewerbeschule",5,4045,"Wettingen",1902,"Bezirk Baden",19,"Aargau",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,51,051,"Gewerbeschule",5,1145,"Ufhusen",315,"Wahlkreis Willisau",3,"Luzern",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",1
2014,34,034,"Sihlfeld",3,4045,"Wettingen",1902,"Bezirk Baden",19,"Aargau",8100,"Schweiz",13,"Zentraleuropa",1,"Europa",5
